1;Bits = 1110010001111100;X = 58492;X_normalizado = 15.701228351262685;Fitness = -13.700872255793493
2;Bits = 1110010001111100;X = 58492;X_normalizado = 15.701228351262685;Fitness = -13.700872255793493
3;Bits = 1110010001111100;X = 58492;X_normalizado = 15.701228351262685;Fitness = -13.700872255793493
4;Bits = 1110010001111100;X = 58492;X_normalizado = 15.701228351262685;Fitness = -13.700872255793493
5;Bits = 1110010001111100;X = 58492;X_normalizado = 15.701228351262685;Fitness = -13.700872255793493
6;Bits = 1110010011011010;X = 58586;X_normalizado = 15.758602273594263;Fitness = -13.738401628898494
7;Bits = 1110010011011010;X = 58586;X_normalizado = 15.758602273594263;Fitness = -13.738401628898494
8;Bits = 1110010011011010;X = 58586;X_normalizado = 15.758602273594263;Fitness = -13.738401628898494
9;Bits = 1110010011011010;X = 58586;X_normalizado = 15.758602273594263;Fitness = -13.738401628898494
10;Bits = 1110010011011010;X = 58586;X_normalizado = 15.758602273594263;Fitness = -13.738401628898494
