1;Bits = 1110010101000011;X = 58691;X_normalizado = 15.822690165560388;Fitness = -13.71867314316307
2;Bits = 1110010101000010;X = 58690;X_normalizado = 15.82207980468452;Fitness = -13.719169376103283
3;Bits = 1110010101000010;X = 58690;X_normalizado = 15.82207980468452;Fitness = -13.719169376103283
4;Bits = 1110010101000010;X = 58690;X_normalizado = 15.82207980468452;Fitness = -13.719169376103283
5;Bits = 1110010101000010;X = 58690;X_normalizado = 15.82207980468452;Fitness = -13.719169376103283
6;Bits = 1110010101000010;X = 58690;X_normalizado = 15.82207980468452;Fitness = -13.719169376103283
7;Bits = 1110010100111110;X = 58686;X_normalizado = 15.819638361181049;Fitness = -13.721094901896496
8;Bits = 1110010100111110;X = 58686;X_normalizado = 15.819638361181049;Fitness = -13.721094901896496
9;Bits = 1110010100111110;X = 58686;X_normalizado = 15.819638361181049;Fitness = -13.721094901896496
10;Bits = 1110010100111110;X = 58686;X_normalizado = 15.819638361181049;Fitness = -13.721094901896496
