1;Bits = 0010101110101010;X = 11178;X_normalizado = -13.177386129549095;Fitness = -8.793146835227938
2;Bits = 0010101110110100;X = 11188;X_normalizado = -13.171282520790417;Fitness = -8.834067397463247
3;Bits = 0010101110110100;X = 11188;X_normalizado = -13.171282520790417;Fitness = -8.834067397463247
4;Bits = 0010101110110100;X = 11188;X_normalizado = -13.171282520790417;Fitness = -8.834067397463247
5;Bits = 0000000111101011;X = 491;X_normalizado = -19.700312809948883;Fitness = -10.990668404167238
6;Bits = 0000000111101011;X = 491;X_normalizado = -19.700312809948883;Fitness = -10.990668404167238
7;Bits = 0000000111101011;X = 491;X_normalizado = -19.700312809948883;Fitness = -10.990668404167238
8;Bits = 0000000111101011;X = 491;X_normalizado = -19.700312809948883;Fitness = -10.990668404167238
9;Bits = 0000000111101011;X = 491;X_normalizado = -19.700312809948883;Fitness = -10.990668404167238
10;Bits = 0000000111101011;X = 491;X_normalizado = -19.700312809948883;Fitness = -10.990668404167238
