1;Bits = 1110100001110001;X = 59505;X_normalizado = 16.319523918516822;Fitness = -11.361658744213834
2;Bits = 1110100000110000;X = 59440;X_normalizado = 16.27985046158541;Fitness = -11.689418342302675
3;Bits = 1110100000110000;X = 59440;X_normalizado = 16.27985046158541;Fitness = -11.689418342302675
4;Bits = 1110100000110000;X = 59440;X_normalizado = 16.27985046158541;Fitness = -11.689418342302675
5;Bits = 1110100000010000;X = 59408;X_normalizado = 16.26031891355764;Fitness = -11.842261391578473
6;Bits = 1110100000010000;X = 59408;X_normalizado = 16.26031891355764;Fitness = -11.842261391578473
7;Bits = 1110100000010000;X = 59408;X_normalizado = 16.26031891355764;Fitness = -11.842261391578473
8;Bits = 1110100000010000;X = 59408;X_normalizado = 16.26031891355764;Fitness = -11.842261391578473
9;Bits = 1110100000010000;X = 59408;X_normalizado = 16.26031891355764;Fitness = -11.842261391578473
10;Bits = 1110100000010000;X = 59408;X_normalizado = 16.26031891355764;Fitness = -11.842261391578473
