1;Bits = 1001011111011001;X = 38873;X_normalizado = 3.726558327611201;Fitness = -1.1069473507708776
2;Bits = 1001010110111110;X = 38334;X_normalizado = 3.3975738155184274;Fitness = -1.2868650155553705
3;Bits = 1001010110111110;X = 38334;X_normalizado = 3.3975738155184274;Fitness = -1.2868650155553705
4;Bits = 1001010110111110;X = 38334;X_normalizado = 3.3975738155184274;Fitness = -1.2868650155553705
5;Bits = 1100001110011101;X = 50077;X_normalizado = 10.565041580834666;Fitness = -2.4093724580757057
6;Bits = 1100000110101101;X = 49581;X_normalizado = 10.26230258640421;Fitness = -4.868600678462686
7;Bits = 1100000110101101;X = 49581;X_normalizado = 10.26230258640421;Fitness = -4.868600678462686
8;Bits = 1100000110011101;X = 49565;X_normalizado = 10.252536812390325;Fitness = -4.936126968871476
9;Bits = 1100000110011101;X = 49565;X_normalizado = 10.252536812390325;Fitness = -4.936126968871476
10;Bits = 1100000110011101;X = 49565;X_normalizado = 10.252536812390325;Fitness = -4.936126968871476
