1;Bits = 0000001110001100;X = 908;X_normalizado = -19.445792324711984;Fitness = -14.090515194923476
2;Bits = 0000101001010010;X = 2642;X_normalizado = -18.38742656595712;Fitness = -14.45868009382453
3;Bits = 0000101001010010;X = 2642;X_normalizado = -18.38742656595712;Fitness = -14.45868009382453
4;Bits = 0000101001010010;X = 2642;X_normalizado = -18.38742656595712;Fitness = -14.45868009382453
5;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
6;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
7;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
8;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
9;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
10;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
11;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
12;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
13;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
14;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
15;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
16;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
17;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
18;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
19;Bits = 0000100001010010;X = 2130;X_normalizado = -18.699931334401466;Fitness = -16.49099904467627
20;Bits = 0000100001010000;X = 2128;X_normalizado = -18.7011520561532;Fitness = -16.49559538278215
