1;Bits = 1110010101100101;X = 58725;X_normalizado = 15.843442435339895;Fitness = -13.698264633779178
2;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
3;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
4;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
5;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
6;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
7;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
8;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
9;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
10;Bits = 1110010100000111;X = 58631;X_normalizado = 15.786068513008317;Fitness = -13.737942088970161
