1;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
2;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
3;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
4;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
5;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
6;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
7;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
8;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
9;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
10;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
11;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
12;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
13;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
14;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
15;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
16;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
17;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
18;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
19;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
20;Bits = 1110011101100011;X = 59235;X_normalizado = 16.1547264820325;Fitness = -12.569144493213354
